Lidar data points
Time recoreded: 1653831603157
X3122 Y0 P0.9700000000000008
X2946.551157625885 Y51.43224177067451 P0.9833333333333333
X2737.3314752053034 Y95.58972146815016 P0.9866666666666656
X2557.490238506464 Y134.03238393817915 P0.9900000000000015
X2399.141540874877 Y167.76431935462136 P0.9600000000000004
X2260.3657699701707 Y197.75638029443638 P0.9066666666666672
X2142.2001626232604 Y225.15430987852557 P0.9166666666666666
X2042.6599800778406 Y250.80710872779352 P0.9733333333333339
X1949.837827352152 Y274.03183579036886 P0.9866666666666665
X1907.226185689211 Y302.0749519926858 P0.9866666666666665
X1916.4358873617568 Y337.91935373984643 P0.9899999999999997
X1923.9892795574215 Y373.98563093802784 P0.9899999999999997
X1937.710397053669 Y411.87305950998126 P0.9766666666666661
X2025.715364688504 Y467.67324198089534 P0.8166666666666667
X2104.5714302926363 Y524.7285915556793 P0.9966666666666668
X2114.4116337467703 Y566.5548897294179 P0.9933333333333337
X2135.9234883749446 Y612.4662046253721 P1
X2157.423529452608 Y659.5905658544941 P0.9966666666666668
X2171.2620267018356 Y705.4857981580049 P0.9833333333333333
X2186.0389467856207 Y752.7135731049462 P0.9800000000000002
X2200.7601178805976 Y801.0111756687161 P0.9700000000000008
X2207.917708665882 Y847.5402006746351 P0.9866666666666665
X2214.1150447054883 Y894.5605450771978 P0.9966666666666659
X2229.4627550618106 Y946.350793201021 P0.9966666666666668
X2249.1489167160835 Y1001.3856152526201 P0.9666666666666667
X2244.0180807027455 Y1046.4028160699718 P0.9833333333333333
X2259.568232396106 Y1102.0650630277405 P0.9733333333333329
X2256.919525769136 Y1149.9579358402718 P0.9899999999999997
X2274.472999204596 Y1209.3587457364547 P0.9766666666666651
X2293.252872119496 Y1271.1708242858958 P0.9933333333333337
X2302.7615486628224 Y1329.4999999999998 P0.9966666666666659
X2286.9223582732357 Y1374.1215838600244 P0.9733333333333329
X2219.3418676413667 Y1386.7987144982972 P0.9833333333333333
X1351.9369555280236 Y877.9581244442237 P0
X573.6940002080888 Y386.9614892017569 P0
X1141.0787976945655 Y798.9919758370071 P0.9933333333333337
X1147.1860980236754 Y833.4794877507269 P1
X1153.2296765082908 Y869.0208934315577 P0.976666666666667
X584.7039791761877 Y456.8208146916385 P0.9933333333333333
X581.3051791698142 Y470.73165250527836 P0.5033333333333334
X116.43875535408466 Y97.70371667235396 P0.20333333333333325
X900.368529205767 Y782.6784215856752 P0.9866666666666665
X1197.2063138440822 Y1077.9694068441206 P0.9966666666666668
X1191.3751799376287 Y1110.97532854181 P0.9966666666666668
X1201.2974665655474 Y1160.0794786665253 P0.9800000000000002
X1202.081528017131 Y1202.0815280171307 P0.9866666666666665
X1206.6215894872782 Y1249.4932331882371 P0.9733333333333329
X1217.3670727115598 Y1305.4663573902192 P0.9933333333333337
X517.9070893217563 Y575.1940949195032 P0.1366666666666665
X892.24027942709 Y1026.40502910297 P0.44333333333333325
X180.62331832191757 Y215.25848851643283 P0.9966666666666666
X307.7376712233705 Y380.0243751524588 P0
X890.2464933209019 Y1139.4635497153201 P0
X865.4100032926455 Y1148.4378634480072 P0.3033333333333341
X791.1589495856689 Y1088.9368744286792 P0.18666666666666643
X438.2123973721992 Y625.8321618367897 P0.6199999999999999
X476.991546660547 Y707.1690493894506 P0.5066666666666668
X517.9517222992907 Y797.5757101160983 P0
X346.0372795442828 Y553.7754067901462 P0.30999999999999994
X590.2336338469221 Y982.3137266046207 P0.9333333333333333
X507.0000000000001 Y878.1497594374207 P0.30333333333333357
X475.1134278414104 Y857.1273129966078 P0
X392.00875492621884 Y737.261240037204 P0.7533333333333332
X335.95296980726465 Y659.3448278993922 P0.2400000000000001
X629.0625956423262 Y1289.7694564393048 P0.8399999999999996
X590.3977116517572 Y1266.1119784902 P0.9366666666666665
X576.3458232384089 Y1294.4939134795654 P0.8
X570.8581787228289 Y1344.8575908940154 P0.9400000000000006
X378.727265943487 Y937.3828769670221 P0
X451.9019843766238 Y1177.2449178129714 P0.35999999999999943
X289.6910613968415 Y795.9196498056643 P0
X245.47838846069618 Y712.9210060018848 P0.20333333333333314
X350.4252716211904 Y1078.498089478704 P0.9900000000000001
X330.964769746138 Y1082.5369837501562 P0.9933333333333333
X310.91893736157505 Y1084.3031930184238 P0.9966666666666664
X291.17142574033585 Y1086.6665545752019 P0.9966666666666668
X271.43636686282713 Y1088.671804881668 P0.9966666666666668
X229.22512437639836 Y992.8830960161547 P0.6600000000000004
X223.5050676290914 Y1051.508670788841 P0.85
X92.92398074837737 Y478.0524383390124 P0.27333333333333343
X114.60779726017407 Y649.9731169880573 P0.7533333333333334
X95.26858920950063 Y601.5021994224389 P0.21333333333333326
X155.31718067143305 Y1105.1391647155924 P0.9966666666666664
X136.2499259269549 Y1109.666597534998 P1
X117.28093578630718 Y1115.8535666032026 P0.9966666666666668
X98.0502105911154 Y1120.7190353532137 P1
X79.17359769958215 Y1132.2351970449004 P1
X59.610654160713175 Y1137.4390400854595 P0.9966666666666668
X39.89012473095873 Y1142.3037152828265 P1
X20.017910183564286 Y1146.8253063443808 P0.9966666666666668
X7.053965563088755e-14 Y1152 P1
X-20.192434247936983 Y1156.8237832959446 P1
X-40.55321516830611 Y1161.2921409961893 P0.9966666666666664
X-61.128396891758406 Y1166.3992965933423 P0.9933333333333333
X-81.89410017560314 Y1171.1401950050335 P0.9966666666666664
X-102.84377644223672 Y1175.5097437482598 P1
X-123.97075743543712 Y1179.502967906772 P1
X-145.39012668234082 Y1184.1075589080972 P1
X-167.14689425303848 Y1189.311950558626 P1
X-189.12926823363907 Y1194.1152037795216 P0.9966666666666664
X-210.2879431546526 Y1192.602188897784 P0.9899999999999997
X-232.40535636863157 Y1195.6219094392548 P0.9933333333333333
X-255.52346801502622 Y1202.1434013018472 P0.9966666666666664
X-277.58960106032947 Y1202.3726599449803 P1
X-302.4023694995847 Y1212.8696578449956 P0.9966666666666668
X-327.6649110997914 Y1222.8620960819605 P0.9966666666666668
X-351.1619913108568 Y1224.6474006254182 P0.4666666666666667
X-376.2823839781621 Y1230.7642209244268 P0.9966666666666659
X-402.03110968180647 Y1237.3245276999949 P0.9966666666666668
